Title,Description,Priority,Status,Assignee,Created,Completed,Labels,Estimate
(1) I_DB - Subtask: RPC functions,"Detail: Write SQL functions for safe bid/ask mutations; expose via PostgREST.
Hours: ~4h
Blocked by: (1) DBCore - Postgres schema & RLS
Blocks: (1) I_DB - PostgREST & RPC",Medium,Backlog,sparikh@mba2026.hbs.edu,2025-10-26,,"MVP,Subtask,Interface",2
(1) Web App Shell - Subtask: Next.js init,"Detail: Scaffold Next.js 14 app, TS, Tailwind, base routing, lint/test.
Hours: ~3h
Blocked by: none
Blocks: (1) Web App Shell - Next.js app (Vercel)",Medium,Backlog,jlinsdell@mba2026.hbs.edu,2025-10-26,,"MVP,Subtask",1
(1) Web App Shell - Subtask: Vercel env and CI,"Detail: Create Vercel project, env vars, preview deploys from main.
Hours: ~3h
Blocked by: (1) Web App Shell - Subtask: Next.js init
Blocks: (1) Web App Shell - Next.js app (Vercel)",Medium,Backlog,jlinsdell@mba2026.hbs.edu,2025-10-26,,"MVP,Subtask",1
(1) I_Clerk - Subtask: Provider and routes,"Detail: Add Clerk provider, sign-in/up routes, protected routes.
Hours: ~3h
Blocked by: (1) Web App Shell - Next.js app (Vercel)
Blocks: (1) I_Clerk - Auth SDK integration",Medium,Backlog,jlinsdell@mba2026.hbs.edu,2025-10-26,,"MVP,Subtask,Interface",1
(2) Storage - Subtask: Bucket and policies,"Detail: Create bucket, configure policies for read/write and signed URLs.
Hours: ~3h
Blocked by: (1) DBCore - Postgres schema & RLS
Blocks: (2) Storage - Buckets & policies",Medium,Backlog,sparikh@mba2026.hbs.edu,2025-10-26,,"MVP,Subtask",1
(2) Seller UI - Subtask: Listing create form,"Detail: Form with floor price, validation, RPC call.
Hours: ~4h
Blocked by: (1) Web App Shell - Next.js app (Vercel), (1) I_SupaClient - Supabase Client SDK, (1) I_DB - PostgREST & RPC
Blocks: (2) Seller UI - Listing Flow + QR upload",Medium,Backlog,sparikh@mba2026.hbs.edu,2025-10-26,,"MVP,Subtask",2
(2) Seller UI - Subtask: QR upload,"Detail: Upload redacted QR to Storage; signed link preview.
Hours: ~4h
Blocked by: (2) Storage - Subtask: Bucket and policies
Blocks: (2) Seller UI - Listing Flow + QR upload",Medium,Backlog,sparikh@mba2026.hbs.edu,2025-10-26,,"MVP,Subtask",2
(3) Buyer UI - Subtask: Bid form,"Detail: Place/update bid via RPC; handle RLS errors; minimal UX.
Hours: ~4-5h
Blocked by: (1) I_DB - PostgREST & RPC, (1) I_SupaClient - Supabase Client SDK, (1) I_Clerk - Auth SDK integration
Blocks: (3) Buyer UI - Bid Form (minimal)",Medium,Backlog,jlinsdell@mba2026.hbs.edu,2025-10-26,,"MVP,Subtask",2
(4) Auction - Subtask: Matching algorithm,"Detail: Greedy/price-time priority to compute clearing; unit tests.
Hours: ~6-8h
Blocked by: (1) DBCore - Postgres schema & RLS, (1) I_DB - PostgREST & RPC
Blocks: (4) Auction Engine - Matcher & clearing",High,Backlog,sparikh@mba2026.hbs.edu,2025-10-26,,"MVP,Subtask",3
(4) Auction - Subtask: Persist matches,"Detail: Write match results and reservations; idempotency guards.
Hours: ~4-5h
Blocked by: (4) Auction - Subtask: Matching algorithm
Blocks: (4) Auction Engine - Matcher & clearing",High,Backlog,sparikh@mba2026.hbs.edu,2025-10-26,,"MVP,Subtask",2
(4) Auction - Subtask: CRON wiring,"Detail: Configure scheduler to invoke auction function; manual trigger script.
Hours: ~2h
Blocked by: (4) I_Cron - Supabase Scheduler
Blocks: (4) Auction Engine - Matcher & clearing",Medium,Backlog,sparikh@mba2026.hbs.edu,2025-10-26,,"MVP,Subtask",1
(5) Delivery - Subtask: Email template,"Detail: Draft transactional template with variables; preview in dev.
Hours: ~2h
Blocked by: (5) I_Notify - Notifications API (Resend)
Blocks: (5) Delivery - Ticket email with signed link",Medium,Backlog,jlinsdell@mba2026.hbs.edu,2025-10-26,,"MVP,Subtask",1
(5) Delivery - Subtask: Signed URL,"Detail: Generate signed URL for QR; expiry and audit logging.
Hours: ~3h
Blocked by: (2) Storage - Buckets & policies, (1) I_ServiceKey - Service-role RPC
Blocks: (5) Delivery - Ticket email with signed link",Medium,Backlog,jlinsdell@mba2026.hbs.edu,2025-10-26,,"MVP,Subtask",1
(5) Delivery - Subtask: Send email job,"Detail: Edge function to compose payload and send via Resend; retry strategy.
Hours: ~3h
Blocked by: (5) Delivery - Subtask: Email template, (5) Delivery - Subtask: Signed URL, (1) I_DB - PostgREST & RPC
Blocks: (5) Delivery - Ticket email with signed link",Medium,Backlog,jlinsdell@mba2026.hbs.edu,2025-10-26,,"MVP,Subtask",1
